Route,Line from,Line to,ID from,ID to,Distance,Polyline
1,70,70,1,2,1500,yfirAkzfdRQAAkBCmB@sC@aCAsCH_BHoBnA{CbC_FOyEk@kDEuAiEkJGiAH}BX}EVaBME
1,70,70,2,3,550,mgirAskidRJDZyAVmAx@wBnDuJFYIYu@o@C]j@gAP[AA
1,70,70,3,4,950,c~hrAkgjdRBBl@aAFSxAeCt@sAtA}BrCgFdAcDoA{@eAi@iF_@_Gm@cA?
1,70,70,4,5,210,mdirAufkdRi@AqAW}DCq@W
1,70,70,5,6,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
1,70,2,6,1,500,{gnrAe|kdR
1,2,2,1,2,8000,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
1,2,2,5,6,8700,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
1,2,70,6,9,500,oinrAk{kdR
1,70,70,9,10,3400,oinrAk{kdRhCiFdCwEtCiFpCcFxCsFnByDhBn@pFbBxEjAbEhAxIpBzDt@`JzBxF`BnDlA`ErAzG~CdJnFzCjBtHdD~JxEvExCbBd@
1,70,70,10,11,150,_pirA{hkdRt@X|EJ
1,70,70,11,12,1000,kgirAugkdR`ARbAGxNrAh@NjC`BgAjDqDnGiDxFq@hA
1,70,70,12,13,550,m|hrAiijdRgBzC?b@z@r@Bh@}EjMq@vC
1,70,70,13,14,1500,efirAgmidRYbAYpBSnFGtBNt@dA`Ch@x@pA|CDrAJ~@^tBHzEaEzIMz@EtAKn@?`GNhL
2,70,70,1,2,1500,yfirAkzfdRQAAkBCmB@sC@aCAsCH_BHoBnA{CbC_FOyEk@kDEuAiEkJGiAH}BX}EVaBME
2,70,70,2,3,550,mgirAskidRJDZyAVmAx@wBnDuJFYIYu@o@C]j@gAP[AA
2,70,70,3,4,950,c~hrAkgjdRBBl@aAFSxAeCt@sAtA}BrCgFdAcDoA{@eAi@iF_@_Gm@cA?
2,70,70,4,5,210,mdirAufkdRi@AqAW}DCq@W
2,70,70,5,6,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
2,70,140,6,3,500,{gnrAe|kdR
